"street_label","street_type","total_trees","total_length","n_segments","density"
"STANLEY PARK DRIVE","Non-city",120,3008.23213753333,27,3.98905385335046
"1400 HOMER ST","Public",53,192.68582278882,1,27.5059157092668
"2600-2700 W 50TH AV","Public",46,329.393892564007,1,13.9650433837541
"5700-5900 BERKELEY ST","Public",46,383.253617290033,4,12.0024959777976
"0-100 E 61ST AV","Public",45,314.924978187108,3,14.2891174460172
"7500-7700 YUKON ST","Public",45,315.522963618313,1,14.2620364248468
"1300-1400 MINTO CRESCENT","Public",42,326.077889744589,2,12.8803581355663
"TRANS CANADA HIGHWAY","Non-city",38,770.32054504403,1,4.93301136059249
"1700-1800 COTTRELL ST","Public",35,256.230627906743,1,13.6595692271177
"5800-6000 HOLLAND ST","Public",34,276.70796489986,2,12.2873224890019
"2700 E 48TH AV","Public",33,296.760103999982,3,11.1200931510666
"3600 TANNER ST","Public",33,323.67685386152,4,10.1953536702746
"4000 W 36TH AV","Public",33,228.650539328694,1,14.4325047720798
"1900-2000 CHARLES ST","Public",31,280.600680427636,3,11.0477280214559
"2300 HARRISON DRIVE","Public",31,279.263522810837,2,11.1006262787132
"2500-2600 E 40TH AV","Public",31,276.555174526613,1,11.2093364563016
"5900 ARGYLE ST","Lane",31,346.045997309103,2,8.9583466478618
"PIPELINE ROAD","Non-city",31,525.459526069737,5,5.89959805883999
"2600 E 22ND AV","Public",30,190.344594260461,2,15.7608888850025
"4200 W 12TH AV","Public",30,220.787016337207,1,13.5877555200896
"7000-7200 BEECHWOOD ST","Public",30,257.662637828008,2,11.643131597537
"2300-2400 E 38TH AV","Public",29,239.926282858842,2,12.0870459269616
"2900 W 30TH AV","Public",29,200.256569019019,1,14.4814225780757
"3500 W 39TH AV","Public",29,239.098554637739,1,12.1288897140923
"700 W 61ST AV","Public",29,281.894257389707,2,10.2875455032448
"2500 OXFORD ST","Public",28,190.456258951391,1,14.7015383764029
"3500 WELLINGTON AV","Public",28,256.30213036744,5,10.9246068145663
"400 E 11TH AV","Public",28,229.113453360335,3,12.2210195819288
"4500-4600 ROSS ST","Public",28,234.392786329334,1,11.9457601227789
"6800-7000 LABURNUM ST","Public",28,263.75938516514,1,10.6157359983491
"900 W 20TH AV","Public",28,206.470554793702,1,13.5612557577407
"1400 E 18TH AV","Public",27,220.654870610317,3,12.2363036561667
"2400 HARRISON DRIVE","Public",27,249.977163043978,4,10.8009866466282
"3000 E 2ND AV","Public",27,183.387952542952,1,14.7228864413415
"400 E 18TH AV","Public",27,197.374012764626,1,13.6796124382384
"400 E 22ND AV","Public",27,191.630524392978,3,14.0896133773714
"4500 W 10TH AV","Public",27,220.640433180256,1,12.2371043288978
"8000-8200 OSLER ST","Public",27,251.160627571383,3,10.7500925846056
"1000 MELVILLE ST","Public",26,146.831005062032,1,17.7074317437355
"1100-1200 E 60TH AV","Public",26,221.065680699138,1,11.7612104772541
"1500-1600 E 35TH AV","Public",26,200.569845738589,1,12.9630652625055
"1700-1800 E 2ND AV","Public",26,280.555316845424,3,9.26733461776633
"2500 E PENDER ST","Public",26,190.379367822556,1,13.6569420822079
"2800 E 22ND AV","Public",26,209.937260910531,3,12.384652389592
"3000 E 7TH AV","Public",26,183.393941542966,1,14.1771313606392
